	accession	location	state	infection_date	index_ID	descendants	recovery	strain	region	country
943		0	S			[]		G23613	North America	USA
944		1	S			[]		G23614	North America	USA
945		1	S			[]		G23615	North America	USA
946		1	S			[]		G23616	North America	USA
947		1	S			[]		G23617	North America	USA
948		0	S			[]		G23618	North America	USA
949		1	S			[]		G23619	North America	USA
950		1	S			[]		G23620	North America	USA
951		0	S			[]		G23621	North America	USA
952		1	S			[]		G23622	North America	USA
953	659	0	I	2020-03-28	2077	[]	2020-03-31	G23623	North America	USA
954		1	S			[]		G23624	North America	USA
955	9051	0	I	2020-03-14	4464	[]	2020-03-15	G23625	North America	USA
956		1	S			[]		G23626	North America	USA
957		0	S			[]		G23627	North America	USA
958		0	S			[]		G23628	North America	USA
959		1	S			[]		G23629	North America	USA
960	7880	1	I	2020-03-31	2917	[]	2020-04-06	G23630	North America	USA
961	7695	0	I	2020-03-20	7036	[]	2020-03-22	G23631	North America	USA
962		1	S			[]		G23632	North America	USA
963		0	S			[]		G23633	North America	USA
964		1	S			[]		G23634	North America	USA
965		0	S			[]		G23635	North America	USA
966		1	S			[]		G23636	North America	USA
967		0	S			[]		G23637	North America	USA
968		0	S			[]		G23638	North America	USA
969	3390	0	I	2020-03-27	5895	[]	2020-04-20	G23639	North America	USA
970		1	S			[]		G23640	North America	USA
971	1198	1	I	2020-03-12	7036	[]	2020-03-23	G23641	North America	USA
972	941	1	I	2020-03-28	8083	[]	2020-03-30	G23642	North America	USA
973		0	S			[]		G23643	North America	USA
974		0	S			[]		G23644	North America	USA
975		0	S			[]		G23645	North America	USA
976		1	S			[]		G23646	North America	USA
977		1	S			[]		G23647	North America	USA
978		1	S			[]		G23648	North America	USA
979		0	S			[]		G23649	North America	USA
980		0	S			[]		G23650	North America	USA
981	7349	1	I	2020-03-15	3765	[]	2020-04-12	G23651	North America	USA
982		1	S			[]		G23652	North America	USA
983	1994	0	I	2020-03-28	8083	[]	2020-03-28	G23653	North America	USA
984		0	S			[]		G23654	North America	USA
985		1	S			[]		G23655	North America	USA
986		1	S			[]		G23656	North America	USA
987		1	S			[]		G23657	North America	USA
988		1	S			[]		G23658	North America	USA
989		1	S			[]		G23659	North America	USA
990	5936	1	I	2020-03-04	1000	[]	2020-03-06	G23660	North America	USA
991		0	S			[]		G23661	North America	USA
992		0	S			[]		G23662	North America	USA
993		1	S			[]		G23663	North America	USA
994		1	S			[]		G23664	North America	USA
995		0	S			[]		G23665	North America	USA
996		1	S			[]		G23666	North America	USA
997	6304	0	I	2020-03-18	2896	[]	2020-03-29	G23667	North America	USA
998		1	S			[]		G23668	North America	USA
999		1	S			[]		G23669	North America	USA
